Vehicle,Make,Model,Suffix,Sales,Powertrain,Combined_Type,Weight_Lowest,Weight_Highest,Class,Subclass,Subclass_Add,Refund_Federal,Refund_State,Fueltype,Battery_Power,Battery_Capacity,Fuelcell_Power,CD_Gasoline,Lightweighting,MSRP_Lowest,MSRP_Highest,Trim1_Name,Trim1_Style,Trim1_MSRP,Trim1_MPG_City,Trim1_MPG_Highway,Trim1_MPG_City_CD,Trim1_MPG_Highway_CD,Trim1_Transmission,Trim1_Cylinders,Trim1_HP
Jeep Patriot,Jeep,Patriot,,93462,ICEV,ICEV,3136,3331,SUV,Compact,,,,,,,,,,16395,26395,Latitude,4dr 4x4,23995,21,27,,,6-spd automatic w/overdrive,4,172
Chevrolet Camaro,Chevrolet,Camaro,,86297,ICEV,ICEV,3702,4374,Sports Car,Muscle/Pony,,,,,,,,,,23555,72305,LS w/2LS,2dr Coupe,24755,19,30,,,6-spd automatic w/overdrive,6,323
Chevrolet Camaro,Chevrolet,Camaro,,86297,ICEV,ICEV,3702,4374,Sports Car,Muscle/Pony,,,,,,,,,,23555,72305,Z/28,2dr Coupe,72305,13,19,,,6-spd manual w/overdrive,8,505
GMC Acadia,GMC,Acadia,,83972,ICEV,ICEV,4656,4850,SUV,Full-size,,,,,,,,,,34485,48825,SLE-1,Front-wheel Drive,34485,17,24,,,6-spd automatic w/overdrive,6,288
GMC Acadia,GMC,Acadia,,83972,ICEV,ICEV,4656,4850,SUV,Full-size,,,,,,,,,,34485,48825,SLE-1,All-wheel Drive,36485,16,23,,,6-spd automatic w/overdrive,6,288
Dodge Dart,Dodge,Dart,,83858,ICEV,ICEV,3186,3242,Sedan/Hatchback,Compact,,,,,,,,,,16495,22995,AERO,4dr Sedan,19995,28,41,,,6-spd manual w/overdrive,4,160
Dodge Dart,Dodge,Dart,,83858,ICEV,ICEV,3186,3242,Sedan/Hatchback,Compact,,,,,,,,,,16495,22995,GT,4dr Sedan,20995,23,33,,,6-spd manual w/overdrive,4,184
Ford Mustang,Ford,Mustang,,82635,ICEV,ICEV,3501,3735,Sports Car,Muscle/Pony,,,,,,,,,,22510,40310,V6,2dr Coupe,22510,19,29,,,6-spd manual w/overdrive,6,305
Ford Mustang,Ford,Mustang,,82635,ICEV,ICEV,3501,3735,Sports Car,Muscle/Pony,,,,,,,,,,22510,40310,GT,2dr Coupe,31210,15,26,,,6-spd manual w/overdrive,8,420
Nissan Pathfinder,Nissan,Pathfinder,,79111,ICEV,ICEV,4168,4486,SUV,Mid-size,,,,,,,,,,29210,41550,S,4dr Front-wheel Drive,29210,20,26,,,Xtronic 2-spd CVT w/overdrive,6,260
Nissan Pathfinder,Nissan,Pathfinder,,79111,ICEV,ICEV,4168,4486,SUV,Mid-size,,,,,,,,,,29210,41550,S,4dr 4x4,30810,19,25,,,Xtronic 2-spd CVT w/overdrive,6,260
Toyota 4Runner,Toyota,4Runner,,76906,ICEV,ICEV,4400,4805,SUV,Mid-size,,,,,,,,,,32820,43400,SR5,4dr 4x2,32820,17,22,,,5-spd automatic w/overdrive,6,270
Toyota 4Runner,Toyota,4Runner,,76906,ICEV,ICEV,4400,4805,SUV,Mid-size,,,,,,,,,,32820,43400,SR5,4dr 4x4,34695,17,21,,,5-spd automatic w/overdrive,6,270
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,,75065,ICEV,ICEV,3428,3816,Sedan/Hatchback,Compact,Executive,,,Gasoline_Premium,,,,,,35800,62750,Sport,C250 4dr Sedan,35800,22,31,,,7-spd automatic w/overdrive,4,201
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,,75065,ICEV,ICEV,3428,3816,Sedan/Hatchback,Compact,Executive,,,Gasoline_Premium,,,,,,35800,62750,Base,C63 AMG 4dr Sedan,60250,13,19,,,7-spd automatic w/overdrive,8,451
Nissan Frontier,Nissan,Frontier,,74323,ICEV,ICEV,3708,4725,Pickup,,,,,,,,,,,17990,34410,S,4x2 King Cab 6 ft. box 125.9 in. WB,17990,19,23,,,5-spd manual w/overdrive,4,152
Nissan Frontier,Nissan,Frontier,,74323,ICEV,ICEV,3708,4725,Pickup,,,,,,,,,,,17990,34410,SV,4x4 Crew Cab 6 ft. box 139.9 in. WB,27880,15,21,,,5-spd automatic w/overdrive,6,261
Subaru XV Crosstrek,Subaru,XV,Crosstrek,70956,ICEV,ICEV,3098,3197,SUV,Compact,,,,,,,,,,21995,24495,2.0i Limited,4dr All-wheel Drive,24495,25,33,,,Lineartronic 6-spd CVT w/overdrive,4,148
Subaru XV Crosstrek,Subaru,XV,Crosstrek,70956,ICEV,ICEV,3098,3197,SUV,Compact,,,,,,,,,,21995,24495,2.0i Premium,4dr All-wheel Drive,21995,23,30,,,5-spd manual w/overdrive,4,148
Kia Forte,Kia,Forte,,69336,ICEV,ICEV,2736,2837,Sedan/Hatchback,Compact,,,,,,,,,,15900,20900,LX,4dr Sedan,15900,25,37,,,6-spd manual w/overdrive,4,148
Kia Forte,Kia,Forte,,69336,ICEV,ICEV,2736,2837,Sedan/Hatchback,Compact,,,,,,,,,,15900,20900,SX,4dr Hatchback,20900,21,29,,,6-spd manual w/overdrive,4,201
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,,66400,ICEV,ICEV,3619,4674,Sedan/Hatchback,Mid-size ,luxury,,,Gasoline_Premium,,,,,,51900,102370,Base,E350 4dr Rear-wheel Drive Sedan,51900,21,30,,,7-spd automatic w/overdrive,6,302
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,,66400,ICEV,ICEV,3619,4674,Sedan/Hatchback,Mid-size ,luxury,,,Gasoline_Premium,,,,,,51900,102370,Base,E63 AMG 4dr All-wheel Drive 4MATIC Wagon,102370,15,21,,,7-spd automatic w/overdrive,8,577
Acura MDX,Acura,MDX,,65603,ICEV,ICEV,4025,4332,SUV,Mid-size ,luxury,,,Gasoline_Premium,,,,,,42290,56505,3.5L,4dr Front-wheel Drive,42290,20,28,,,6-spd automatic w/overdrive,6,290
Acura MDX,Acura,MDX,,65603,ICEV,ICEV,4025,4332,SUV,Mid-size ,luxury,,,Gasoline_Premium,,,,,,42290,56505,3.5L,4dr SH-All-wheel Drive,44290,18,27,,,6-spd automatic w/overdrive,6,290
Dodge Durango,Dodge,Durango,,64398,ICEV,ICEV,4756,5331,SUV,Full-size,,,,,,,,,,29995,43395,SXT,4dr 4x2 Sport Utility,29995,18,25,,,8-spd automatic w/overdrive,6,290
Dodge Durango,Dodge,Durango,,64398,ICEV,ICEV,4756,5331,SUV,Full-size,,,,,,,,,,29995,43395,R/T,4dr All-wheel Drive Sport Utility,41695,14,22,,,8-spd automatic w/overdrive,8,360
Hyundai Accent,Hyundai,Accent,,63309,ICEV,ICEV,2480,2635,Sedan/Hatchback,Subcompact,,,,,,,,,,14645,16395,GLS,4dr Sedan,14645,27,38,,,6-spd manual w/overdrive,4,138
Ford Fiesta,Ford,Fiesta,,63192,ICEV,ICEV,2537,2720,Sedan/Hatchback,Subcompact,,,,,,,,,,14100,21400,S,4dr Sedan,14100,28,36,,,5-spd manual w/overdrive,4,120
Ford Fiesta,Ford,Fiesta,,63192,ICEV,ICEV,2537,2720,Sedan/Hatchback,Subcompact,,,,,,,,,,14100,21400,ST,4dr Hatchback,21400,26,35,,,6-spd manual w/overdrive,4,197
Buick Enclave,Buick,Enclave,,62300,ICEV,ICEV,4724,4922,SUV,Full-size,luxury,,,,,,,,,38890,48465,Convenience,Front-wheel Drive Sport Utility,38890,17,24,,,6-spd automatic w/overdrive,6,288
Buick Enclave,Buick,Enclave,,62300,ICEV,ICEV,4724,4922,SUV,Full-size,luxury,,,,,,,,,38890,48465,Convenience,All-wheel Drive Sport Utility,40890,16,22,,,6-spd automatic w/overdrive,6,288
Jeep Compass,Jeep,Compass,,61264,ICEV,ICEV,3097,3345,SUV,Compact,,,,,,,,,,18795,27995,Sport,4dr Front-wheel Drive,18795,23,30,,,5-spd manual w/overdrive,4,158
Jeep Compass,Jeep,Compass,,61264,ICEV,ICEV,3097,3345,SUV,Compact,,,,,,,,,,18795,27995,Latitude,4dr 4x4,24595,21,27,,,6-spd automatic w/overdrive,4,172
Honda Fit [2015],Honda,Fit,[2015],59340,ICEV,ICEV,2513,2642,Sedan/Hatchback,Subcompact,,,,,,,,,,15650,19925,EX-L,4dr Hatchback,19925,32,38,,,2-spd CVT w/overdrive,4,130
Honda Fit [2015],Honda,Fit,[2015],59340,ICEV,ICEV,2513,2642,Sedan/Hatchback,Subcompact,,,,,,,,,,15650,19925,LX,4dr Hatchback,15650,29,37,,,6-spd manual w/overdrive,4,130
Subaru Impreza,Subaru,Impreza,,57996,ICEV,ICEV,2944,3109,Sedan/Hatchback,Compact,,,,,,,,,,17895,23195,2.0i Limited,4dr All-wheel Drive Sedan,22195,27,36,,,Lineartronic 6-spd CVT w/overdrive,4,148
Subaru Impreza,Subaru,Impreza,,57996,ICEV,ICEV,2944,3109,Sedan/Hatchback,Compact,,,,,,,,,,17895,23195,2.0i,4dr All-wheel Drive Hatchback,18395,25,33,,,5-spd manual w/overdrive,4,148
Lexus ES 350,Lexus,ES,350,57671,ICEV,ICEV,3549,,Sedan/Hatchback,Full-size,luxury,,,,,,,,,36620,36620,Base,4dr Sedan,36620,21,31,,,6-spd automatic w/overdrive,6,268
Chevrolet Suburban,Chevrolet,Suburban,,55009,ICEV,ICEV,5674,5820,SUV,Full-size,,,,,,,,,,46300,61400,LS,4x2,46300,15,21,,,6-spd automatic w/overdrive,8,320
Cadillac SRX,Cadillac,SRX,,53578,ICEV,ICEV,4277,4442,SUV,Mid-size ,luxury,,,,,,,,,37605,51155,Base,4dr Front-wheel Drive,37605,17,24,,,6-spd automatic w/overdrive,6,308
Cadillac SRX,Cadillac,SRX,,53578,ICEV,ICEV,4277,4442,SUV,Mid-size ,luxury,,,,,,,,,37605,51155,Luxury Collection,4dr All-wheel Drive,45775,16,23,,,6-spd automatic w/overdrive,6,308
Chrysler 300,Chrysler,300,,53382,ICEV,ICEV,3961,4513,Sedan/Hatchback,Full-size,luxury,,,,,,,,,31395,48900,Base,4dr Rear-wheel Drive Sedan,31395,19,31,,,8-spd automatic w/overdrive,6,292
Chrysler 300,Chrysler,300,,53382,ICEV,ICEV,3961,4513,Sedan/Hatchback,Full-size,luxury,,,,,,,,,31395,48900,SRT8 Core,4dr Rear-wheel Drive Sedan,44900,14,23,,,5-spd automatic w/overdrive,8,470
Mazda 6,Mazda,6,,53224,ICEV,ICEV,3183,3232,Sedan/Hatchback,Mid-size,,,,,,,,,,20990,29695,i Grand Touring,4dr Sedan,29695,26,38,,,6-spd automatic w/overdrive,4,184
Mazda 6,Mazda,6,,53224,ICEV,ICEV,3183,3232,Sedan/Hatchback,Mid-size,,,,,,,,,,20990,29695,i Sport,4dr Sedan,20990,25,37,,,6-spd manual w/overdrive,4,184
BMW 5-Series,BMW,5-Series,,52704,ICEV,ICEV,3814,5060,Sedan/Hatchback,Mid-size ,luxury,,,Gasoline_Premium,,,,,,49500,51800,i,4dr Rear-wheel Drive Sedan,49500,23,34,,,8-spd automatic w/overdrive,4,240
BMW 5-Series,BMW,5-Series,,52704,ICEV,ICEV,3814,5060,Sedan/Hatchback,Mid-size ,luxury,,,Gasoline_Premium,,,,,,49500,51800,i xDrive,4dr All-wheel Drive Sedan,66200,16,24,,,8-spd automatic w/overdrive,8,445
Ford Taurus,Ford,Taurus,,52395,ICEV,ICEV,4035,4341,Sedan/Hatchback,Full-size,,,,,,,,,,26780,39980,SE,4dr Front-wheel Drive Sedan,26780,19,29,,,6-spd automatic w/overdrive,6,288
Ford Taurus,Ford,Taurus,,52395,ICEV,ICEV,4035,4341,Sedan/Hatchback,Full-size,,,,,,,,,,26780,39980,SHO,4dr All-wheel Drive Sedan,39980,17,25,,,6-spd automatic w/overdrive,6,365
Subaru Legacy,Subaru,Legacy,,52270,ICEV,ICEV,3315,3545,Sedan/Hatchback,Mid-size,,,,,,,,,,20295,28895,2.5i Premium,4dr All-wheel Drive Sedan,23295,24,32,,,Lineartronic 6-spd CVT w/overdrive,4,173
Subaru Legacy,Subaru,Legacy,,52270,ICEV,ICEV,3315,3545,Sedan/Hatchback,Mid-size,,,,,,,,,,20295,28895,3.6R Limited,4dr All-wheel Drive Sedan,28895,18,25,,,5-spd automatic w/overdrive,6,256
Dodge Avenger,Dodge,Avenger,,51705,ICEV,ICEV,3400,3607,Sedan/Hatchback,Mid-size,,,,,,,,,,20595,25795,SE,4dr Front-wheel Drive Sedan,20595,21,30,,,4-spd automatic w/overdrive,4,173
Dodge Avenger,Dodge,Avenger,,51705,ICEV,ICEV,3400,3607,Sedan/Hatchback,Mid-size,,,,,,,,,,20595,25795,R/T,4dr Front-wheel Drive Sedan,25795,19,29,,,6-spd multi-speed automatic w/overdrive,6,283
Dodge Challenger,Dodge,Challenger,,51611,ICEV,ICEV,3834,4170,Sports Car,Muscle/Pony,,,,,,,,,,26495,44685,SXT,2dr Coupe,26495,18,27,,,5-spd automatic w/overdrive,6,305
Dodge Challenger,Dodge,Challenger,,51611,ICEV,ICEV,3834,4170,Sports Car,Muscle/Pony,,,,,,,,,,26495,44685,SRT8 Core,2dr Coupe,39485,14,23,,,6-spd manual w/overdrive,8,470
Buick LaCrosse,Buick,LaCrosse,,51468,ICEV,ICEV,3756,4162,Sedan/Hatchback,Mid-size ,luxury,,,,,,,,,33535,40285,Base,4dr Front-wheel Drive Sedan,33535,25,36,,,6-spd automatic w/overdrive,4,182
Buick LaCrosse,Buick,LaCrosse,,51468,ICEV,ICEV,3756,4162,Sedan/Hatchback,Mid-size ,luxury,,,,,,,,,33535,40285,Leather Group,4dr All-wheel Drive Sedan,38615,17,26,,,6-spd automatic w/overdrive,6,304
Lexus IS,Lexus,IS,,51358,ICEV,ICEV,3461,3880,Sedan/Hatchback,Compact,Executive,,,,,,,,,36100,38635,Base,4dr Rear-wheel Drive Sedan,36100,21,30,,,6-spd automatic w/overdrive,6,204
Lexus IS,Lexus,IS,,51358,ICEV,ICEV,3461,3880,Sedan/Hatchback,Compact,Executive,,,,,,,,,36100,38635,Base,4dr All-wheel Drive Sedan,38635,20,27,,,6-spd automatic w/overdrive,6,204
Nissan Maxima,Nissan,Maxima,,50401,ICEV,ICEV,3556,3579,Sedan/Hatchback,Full-size,,,,Gasoline_Premium,,,,,,31290,34380,3.5 S,4dr Sedan,31290,19,26,,,Xtronic 2-spd CVT w/overdrive,6,290
Toyota Avalon,Toyota,Avalon,,50135,ICEV,ICEV,3461,3538,Sedan/Hatchback,Full-size,,,,,,,,,,31590,39900,XLE,4dr Sedan,31590,21,31,,,6-spd automatic w/overdrive,6,268
Chevrolet Spark,Chevrolet,Spark,,38014,ICEV,ICEV,2269,2368,Sedan/Hatchback,Subcompact,,,,,,,,,,12170,16385,LS Manual,4dr Hatchback,12170,31,39,,,5-spd manual w/overdrive,4,84
Chevrolet Spark,Chevrolet,Spark,,38014,ICEV,ICEV,2269,2368,Sedan/Hatchback,Subcompact,,,,,,,,,,12170,16385,LS Auto,4dr Hatchback,13480,30,39,,,2-spd CVT w/overdrive,4,84
Fiat 500,Fiat,500,,32205,ICEV,ICEV,2363,2512,Sedan/Hatchback,Subcompact,,,,,40,,,,,16445,22195,Pop,2dr Hatchback,16445,31,40,,,5-spd manual w/overdrive,4,101
Fiat 500,Fiat,500,,32205,ICEV,ICEV,2363,2512,Sedan/Hatchback,Subcompact,,,,,40,,,,,16445,22195,Turbo,2dr Hatchback,19500,28,34,,,5-spd manual w/overdrive,4,135
Lincoln MKZ,Lincoln,MKZ,,23976,ICEV,ICEV,3719,3874,Sedan/Hatchback,Compact,Executive,,,,,,,,,35190,37080,Base,4dr Front-wheel Drive Sedan,35190,22,33,,,6-spd automatic w/overdrive,4,240
Lincoln MKZ,Lincoln,MKZ,,23976,ICEV,ICEV,3719,3874,Sedan/Hatchback,Compact,Executive,,,,,,,,,35190,37080,Base,4dr All-wheel Drive Sedan,37080,22,31,,,6-spd automatic w/overdrive,4,240
Smart Fortwo,Smart,Fortwo,,7859,ICEV,ICEV,1808,1852,Sedan/Hatchback,Subcompact,,,,,,,,,,13270,17930,pure,2dr Coupe,13270,34,38,,,5-spd auto-shift manual w/overdrive,3,70
Volkswagen Jetta TDI,Volkswagen,Jetta,TDI,0,ICEV,ICEV_Diesel,3241,,Sedan/Hatchback,Compact,,,,Diesel,,,,,,21295,23625,2.0L TDI Value Edition,4dr Sedan,21295,30,42,,,6-spd manual w/overdrive,4,140
Volkswagen Passat TDI,Volkswagen,Passat,TDI,0,ICEV,ICEV_Diesel,3393,,Sedan/Hatchback,Mid-size,,,,Diesel,,,,,,26675,33395,2.0L TDI SE,4dr Sedan,26675,31,43,,,6-spd manual w/overdrive,4,140
Chevrolet Cruze Diesel,Chevrolet,Cruze,Diesel,0,ICEV,ICEV_Diesel,3471,,Sedan/Hatchback,Compact,,,,Diesel,,,,,,24985,24985,Diesel,4dr Sedan,24985,27,46,,,6-spd automatic w/overdrive,4,151
Volkswagen Passat TDI,Volkswagen,Passat,TDI,0,ICEV,ICEV_Diesel,3393,,Sedan/Hatchback,Mid-size,,,,Diesel,,,,,,26675,33395,2.0L TDI SEL Premium,4dr Sedan,33395,30,40,,,6-spd auto-shift manual w/overdrive,4,140
Chevrolet Volt,Chevrolet,Volt,,18805,PHEV,PHEV,3786,,Sedan/Hatchback,Compact,,7500,1500,Gasoline_Premium,,16.5,,0,,34185,34185,Base,4dr Hatchback,34185,35,40,101,93,1-spd automatic,0,149
Toyota Prius Plug-In,Toyota,Prius,Plug-In,13264,PHEV,PHEV,3165,,Sedan/Hatchback,Mid-size,,1500,2500,,,4.4,,0.14,,29990,34905,Base,5dr Hatchback,29990,49,51,90,102,2-spd CVT w/overdrive,4,98
Ford Fusion Energi,Ford,Fusion,Energi,11550,PHEV,PHEV,3913,,Sedan/Hatchback,Mid-size,,4007,1500,,,7.6,,0.14,,34700,36500,SE Luxury,4dr Front-wheel Drive Sedan,34700,40,36,95,81,2-spd CVT w/overdrive,4,141
Ford C-Max Energi,Ford,C-Max,Energi,8433,PHEV,PHEV,3859,,Sedan/Hatchback,Compact,,4007,1500,,,7.6,,0.14,,31635,31635,SEL,4dr Hatchback,31635,40,36,95,81,2-spd CVT w/overdrive,4,141
Nissan Leaf,Nissan,Leaf,,30200,BEV,BEV,3256,3340,Sedan/Hatchback,Compact,,7500,2500,,,24,,,,28980,35020,S,4dr Hatchback,28980,126,101,,,1-spd automatic,0,107
Tesla Model S,Tesla,Model,S,16550,BEV,BEV,4647,,Sedan/Hatchback,Full-size,luxury,7500,2500,,,60,,,,69900,93400,Base,4dr Sedan,69900,94,97,,,1-spd automatic,0,302
BMW i3,BMW,i3,,6092,BEV,BEV,2799,3064,Sedan/Hatchback,Subcompact,,7500,2500,,,22,,,0.5,41350,45200,Base,4dr Rear-wheel Drive Hatchback,41350,137,111,,,1-spd automatic,0,170
Smart Fortwo electric drive,Smart,Fortwo,electric drive,2594,BEV,BEV,2138,,Sedan/Hatchback,Subcompact,,7500,2500,,,17.6,,,,25000,28000,passion,2dr Coupe,25000,122,93,,,1-spd automatic,0,74
Ford Focus Electric,Ford,Focus,Electric,1964,BEV,BEV,3640,,Sedan/Hatchback,Compact,,7500,2500,,,23,,,,29170,29170,Base,4dr Hatchback,29170,110,99,,,1-spd automatic,0,143
Fiat 500E,Fiat,500E,,1503,BEV,BEV,2980,,Sedan/Hatchback,Subcompact,,7500,2500,,,24,,,,31800,31800,Battery Electric,2dr Hatchback,31800,122,108,,,1-spd automatic,0,111
Toyota RAV4 EV,Toyota,RAV4,EV,1184,BEV,BEV,4032,,SUV,Compact,,7500,2500,,,41.8,,,,49800,49800,Base,4dr Front-wheel Drive,49800,78,74,,,1-spd automatic,0,154
Chevrolet Spark EV,Chevrolet,Spark,EV,1145,BEV,BEV,2989,,Sedan/Hatchback,Subcompact,,7500,2500,,,19,,,,26685,27010,1LT,4dr Hatchback,26685,128,109,,,1-spd automatic,0,130
Toyota Prius,Toyota,Prius,,122776,HEV,HEV,3042,,Sedan/Hatchback,Mid-size,,,,,40,,,,,24200,30005,Two,5dr Hatchback,24200,48,51,,,2-spd CVT w/overdrive,4,98
Toyota Prius C,Toyota,Prius,C,40570,HEV,HEV,2500,,Sedan/Hatchback,Subcompact,,,,,40,,,,,19080,23360,One,5dr Hatchback,19080,46,53,,,2-spd CVT w/overdrive,4,73
Toyota Camry Hybrid,Toyota,Camry,Hybrid,39515,HEV,HEV,3420,3515,Sedan/Hatchback,Mid-size,,,,,40,,,,,26790,29980,LE,4dr Sedan,26790,39,43,,,2-spd CVT w/overdrive,4,156
Toyota Camry Hybrid,Toyota,Camry,Hybrid,39515,HEV,HEV,3420,3515,Sedan/Hatchback,Mid-size,,,,,40,,,,,26790,29980,SE,4dr Sedan,27995,38,40,,,2-spd CVT w/overdrive,4,156
Ford Fusion Hybrid,Ford,Fusion,Hybrid,35405,HEV,HEV,3615,,Sedan/Hatchback,Mid-size,,,,,40,,,,,26270,32600,S,4dr Front-wheel Drive Sedan,26270,41,44,,,2-spd CVT w/overdrive,4,141
Toyota Prius V,Toyota,Prius,V,30762,HEV,HEV,3274,,Sedan/Hatchback,Full-size,,,,,40,,,,,26750,30395,Two,5dr Wagon,26750,40,44,,,2-spd CVT w/overdrive,4,98
Hyundai Sonata Hybrid,Hyundai,Sonata,Hybrid,21052,HEV,HEV,3457,3578,Sedan/Hatchback,Mid-size,,,,,40,,,,,26000,30750,Base,4dr Sedan,26000,36,40,,,6-spd automatic w/overdrive,4,159
Ford C-Max Hybrid,Ford,C-Max,Hybrid,19162,HEV,HEV,3607,,Sedan/Hatchback,Compact,,,,,40,,,,,24170,27170,SE,4dr Hatchback,24170,37,42,,,2-spd CVT w/overdrive,4,141
Lexus CT 200h,Lexus,CT,200h,17673,HEV,HEV,3130,,Sedan/Hatchback,Compact,Executive,,,,40,,,,,32050,32050,Premium,4dr Front-wheel Drive Hatchback,32050,40,43,,,2-spd CVT w/overdrive,4,98
Toyota Avalon Hybrid,Toyota,Avalon,Hybrid,17048,HEV,HEV,3594,3638,Sedan/Hatchback,Full-size,,,,,40,,,,,35805,41650,XLE Premium,4dr Sedan,35805,39,40,,,2-spd CVT w/overdrive,4,156
Lexus ES 300h,Lexus,ES,300h,14837,HEV,HEV,3660,,Sedan/Hatchback,Full-size,luxury,,,,40,,,,,39500,39500,Base,4dr Sedan,39500,39,40,,,2-spd CVT w/overdrive,4,156
Honda Accord Hybrid,Honda,Accord,Hybrid,13977,HEV,HEV,3550,3602,Sedan/Hatchback,Mid-size,,,,,40,,,,,29155,34905,Base,4dr Sedan,29155,45,50,,,1-spd CVT w/overdrive,4,141
Kia Optima Hybrid,Kia,Optima,Hybrid,13776,HEV,HEV,3496,3622,Sedan/Hatchback,Mid-size,,,,,40,,,,,25995,31995,LX,4dr Sedan,25995,36,40,,,6-spd automatic w/overdrive,4,159
Kia Optima Hybrid,Kia,Optima,Hybrid,13776,HEV,HEV,3496,3622,Sedan/Hatchback,Mid-size,,,,,40,,,,,25995,31995,EX,4dr Sedan,31995,35,39,,,6-spd automatic w/overdrive,4,159
Lincoln MKZ Hybrid,Lincoln,MKZ,Hybrid,10033,HEV,HEV,3828,,Sedan/Hatchback,Compact,Executive,,,,40,,,,,35190,35190,Base,4dr Front-wheel Drive Sedan,35190,37,38,,,2-spd CVT w/overdrive,4,141
Lexus RX 450h,Lexus,RX,450h,9351,HEV,HEV,4520,4652,SUV,Mid-size ,luxury,,,,60,,,,,46410,47810,Base,4dr Front-wheel Drive,46410,28,32,,,2-spd CVT w/overdrive,6,245
Lexus RX 450h,Lexus,RX,450h,9351,HEV,HEV,4520,4652,SUV,Mid-size ,luxury,,,,60,,,,,46410,47810,Base,4dr All-wheel Drive,47810,28,30,,,2-spd CVT w/overdrive,6,245
Honda Civic Hybrid,Honda,Civic,Hybrid,5070,HEV,HEV,2879,,Sedan/Hatchback,Mid-size,,,,,40,,,,,24635,24635,Base,4dr Sedan,24635,44,47,,,2-spd CVT w/overdrive,4,90
Volkswagen Jetta Hybrid,Volkswagen,Jetta,Hybrid,1939,HEV,HEV,3311,,Sedan/Hatchback,Compact,,,,,40,,,,,25560,31895,Base,4dr Sedan,25560,42,48,,,7-spd auto-shift manual w/overdrive,4,150
Toyota Mirai,Toyota,Mirai,,1,FCV,FCV,4079,,Sedan/Hatchback,Mid-size,,7500,5000,H2_Gas,40,,90,,,57500,57500,,,57500,59,61,,,1-speed direct drive,,151